anime_id,name,genre,type,episodes,rating,members,images,videos
263,Hajime no Ippo,"Comedy, Drama, Shounen, Sports",TV,75,8.83,157670,image/movies/2022/03/m22.png,https://www.youtube.com/embed/XxHQ5IT0iZI
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",OVA,4,8.83,129307,image/movies/2022/03/m23.png,https://www.youtube.com/embed/MhKyFMKVtBk
1,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,8.82,486824,image/movies/2022/03/m24.png,https://www.youtube.com/embed/ULCIHP5dc44
30276,One Punch Man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12,8.82,552458,image/movies/2022/03/m25.png,https://www.youtube.com/embed/Poo5lqoWSGw
164,Mononoke Hime,"Action, Adventure, Fantasy",Movie,1,8.81,339556,image/movies/2022/03/m26.png,https://www.youtube.com/embed/4OiMOHRDs14
7311,Suzumiya Haruhi no Shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1,8.81,240297,image/movies/2022/03/m27.png,https://www.youtube.com/embed/NooIc3dMncc
17074,Monogatari Series: Second Season,"Comedy, Mystery, Romance, Supernatural, Vampire",TV,26,8.8,205959,image/movies/2022/03/m28.png,https://www.youtube.com/embed/-GoNo0DGroU
21939,Mushishi Zoku Shou,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.8,101351,image/movies/2022/03/m29.png,https://www.youtube.com/embed/GWeuZr6fT6o
457,Mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,26,8.78,300030,image/movies/2022/03/m30.png,https://www.youtube.com/embed/LwcTi86cFeg
2001,Tengen Toppa Gurren Lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27,8.78,562962,image/movies/2022/03/m31.png,https://www.youtube.com/embed/GWeuZr6fT6o
245,Great Teacher Onizuka,"Comedy, Drama, School, Shounen, Slice of Life",TV,43,8.77,268487,image/movies/2022/03/m32.png,https://www.youtube.com/embed/bbyrTsvTyoU
32983,Natsume Yuujinchou Go,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.76,38865,image/movies/2022/03/m33.png,https://www.youtube.com/embed/nboMpI9vOhI
5258,Hajime no Ippo: New Challenger,"Comedy, Drama, Shounen, Sports",TV,26,8.75,88995,image/movies/2022/03/m34.png,https://www.youtube.com/embed/Sr_Ri6a3MPE
28957,Mushishi Zoku Shou: Suzu no Shizuku,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Movie,1,8.75,32266,image/movies/2022/03/m35.png,https://www.youtube.com/embed/UhJM5rVqaF8
11665,Natsume Yuujinchou Shi,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.75,98431,image/movies/2022/03/m36.png,https://www.youtube.com/embed/GWeuZr6fT6o
431,Howl no Ugoku Shiro,"Adventure, Drama, Fantasy, Romance",Movie,1,8.74,333186,image/movies/2022/03/m37.png,https://www.youtube.com/embed/j_Ho5K6pS-A
11741,Fate/Zero 2nd Season,"Action, Fantasy, Supernatural, Thriller",TV,12,8.73,340973,image/movies/2022/03/m38.png,https://www.youtube.com/embed/b_ePl3_RpJ0
31757,Kizumonogatari II: Nekketsu-hen,"Action, Mystery, Supernatural, Vampire",Movie,1,8.73,34347,image/movies/2022/03/m39.png,https://www.youtube.com/embed/GWeuZr6fT6o
19,Monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,8.72,247562,image/movies/2022/03/m40.png,https://www.youtube.com/embed/gY98EYPVKvo
12365,Bakuman. 3rd Season,"Comedy, Drama, Romance, Shounen",TV,25,8.71,133620,image/movies/2022/03/m41.png,https://www.youtube.com/embed/ByXuk9QqQkk
1535,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,37,8.71,1013917,image/movies/2022/03/m42.png,https://www.youtube.com/embed/KFbqrwpm-js
32366,Gintama°: Aizome Kaori-hen,"Comedy, Parody",OVA,2,8.69,16947,image/movies/2022/03/m43.png,https://www.youtube.com/embed/3aL0gDZtFbE
30654,Ansatsu Kyoushitsu (TV) 2nd Season,"Action, Comedy, School, Shounen",TV,25,8.68,176475,image/movies/2022/03/m44.png,https://www.youtube.com/embed/Go7E5Pmjbsc
20583,Haikyuu!!,"Comedy, Drama, School, Shounen, Sports",TV,25,8.68,284498,image/movies/2022/03/m45.png,https://www.youtube.com/embed/ed1xwAtF728
19647,Hajime no Ippo: Rising,"Comedy, Drama, Shounen, Sports",TV,25,8.68,66756,image/movies/2022/03/m46.png,https://www.youtube.com/embed/v-AGjx0N24U
4282,Kara no Kyoukai 5: Mujun Rasen,"Action, Drama, Mystery, Romance, Supernatural, Thriller",Movie,1,8.68,111074,image/movies/2022/03/m47.png,https://www.youtube.com/embed/XxHQ5IT0iZI
10379,Natsume Yuujinchou San,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.67,102322,image/movies/2022/03/m48.png,https://www.youtube.com/embed/MhKyFMKVtBk
22135,Ping Pong The Animation,"Psychological, Seinen, Sports",TV,11,8.67,97187,image/movies/2022/03/m49.png,https://www.youtube.com/embed/ULCIHP5dc44
21329,Mushishi Special: Hihamukage,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.66,49036,image/movies/2022/03/m50.png,https://www.youtube.com/embed/Poo5lqoWSGw
31043,Boku dake ga Inai Machi,"Mystery, Psychological, Seinen, Supernatural",TV,12,8.65,402381,image/movies/2022/03/m51.png,https://www.youtube.com/embed/4OiMOHRDs14
7785,Yojouhan Shinwa Taikei,"Mystery, Psychological, Romance",TV,11,8.65,122531,image/movies/2022/03/m52.png,https://www.youtube.com/embed/NooIc3dMncc
3297,Aria The Origination,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,13,8.64,56162,image/movies/2022/03/m53.png,https://www.youtube.com/embed/-GoNo0DGroU
30709,Kamisama Hajimemashita: Kako-hen,"Comedy, Demons, Fantasy, Shoujo, Supernatural",OVA,4,8.64,33422,image/movies/2022/03/m54.png,https://www.youtube.com/embed/GWeuZr6fT6o
6114,Rainbow: Nisha Rokubou no Shichinin,"Drama, Historical, Seinen, Thriller",TV,26,8.64,139474,image/movies/2022/03/m55.png,https://www.youtube.com/embed/LwcTi86cFeg
31240,Re:Zero kara Hajimeru Isekai Seikatsu,"Drama, Fantasy, Psychological, Thriller",TV,25,8.64,355839,image/movies/2022/03/m56.png,https://www.youtube.com/embed/GWeuZr6fT6o
4565,Tengen Toppa Gurren Lagann Movie: Lagann-hen,"Action, Mecha, Sci-Fi, Space, Super Power",Movie,1,8.64,82253,image/movies/2022/03/m57.png,https://www.youtube.com/embed/bbyrTsvTyoU
5300,Zoku Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.64,114173,image/movies/2022/03/m58.png,https://www.youtube.com/embed/nboMpI9vOhI
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Drama, Slice of Life, Supernatural",TV,11,8.62,463835,image/movies/2022/03/m59.png,https://www.youtube.com/embed/Sr_Ri6a3MPE
24415,Kuroko no Basket 3rd Season,"Comedy, School, Shounen, Sports",TV,25,8.62,184525,image/movies/2022/03/m60.png,https://www.youtube.com/embed/UhJM5rVqaF8
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,"Sci-Fi, Thriller",Movie,1,8.61,192424,image/movies/2022/03/m61.png,https://www.youtube.com/embed/GWeuZr6fT6o
10408,Hotarubi no Mori e,"Drama, Romance, Shoujo, Supernatural",Movie,1,8.61,197439,image/movies/2022/03/m62.png,https://www.youtube.com/embed/j_Ho5K6pS-A
28171,Shokugeki no Souma,"Ecchi, School, Shounen",TV,24,8.61,348951,image/movies/2022/03/m63.png,https://www.youtube.com/embed/b_ePl3_RpJ0
32995,Yuri!!! on Ice,"Comedy, Sports",TV,12,8.61,103178,image/movies/2022/03/m64.png,https://www.youtube.com/embed/GWeuZr6fT6o
21899,Gintama: Yorinuki Gintama-san on Theater 2D,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,2,8.6,11104,image/movies/2022/03/m65.png,https://www.youtube.com/embed/gY98EYPVKvo
26055,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,"Action, Adventure, Drama, Shounen, Supernatural",TV,24,8.6,93657,image/movies/2022/03/m66.png,https://www.youtube.com/embed/ByXuk9QqQkk
7472,Gintama Movie: Shinyaku Benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,8.59,51185,image/movies/2022/03/m67.png,https://www.youtube.com/embed/KFbqrwpm-js
777,Hellsing Ultimate,"Action, Horror, Military, Seinen, Supernatural, Vampire",OVA,10,8.59,297454,image/movies/2022/03/m68.png,https://www.youtube.com/embed/3aL0gDZtFbE
22535,Kiseijuu: Sei no Kakuritsu,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,24,8.59,425457,image/movies/2022/03/m69.png,https://www.youtube.com/embed/Go7E5Pmjbsc
28735,Shouwa Genroku Rakugo Shinjuu,"Drama, Historical, Josei",TV,13,8.59,71295,image/movies/2022/03/m70.png,https://www.youtube.com/embed/ed1xwAtF728
12431,Uchuu Kyoudai,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,99,8.59,72958,image/movies/2022/03/m71.png,https://www.youtube.com/embed/v-AGjx0N24U
28805,Bakemono no Ko,"Adventure, Supernatural",Movie,1,8.58,80825,image/movies/2022/03/m72.png,https://www.youtube.com/embed/XxHQ5IT0iZI
578,Hotaru no Haka,"Drama, Historical",Movie,1,8.58,174878,image/movies/2022/03/m73.png,https://www.youtube.com/embed/MhKyFMKVtBk
16894,Kuroko no Basket 2nd Season,"Comedy, School, Shounen, Sports",TV,25,8.58,243325,image/movies/2022/03/m74.png,https://www.youtube.com/embed/ULCIHP5dc44
5028,Major S5,"Comedy, Drama, Romance, Sports",TV,25,8.58,28653,image/movies/2022/03/m75.png,https://www.youtube.com/embed/Poo5lqoWSGw
21,One Piece,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",TV,Unknown,8.58,504862,image/movies/2022/03/m76.png,https://www.youtube.com/embed/4OiMOHRDs14
801,Ghost in the Shell: Stand Alone Complex 2nd GIG,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",TV,26,8.57,113993,image/movies/2022/03/m77.png,https://www.youtube.com/embed/NooIc3dMncc
31933,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",TV,39,8.57,74074,image/movies/2022/03/m78.png,https://www.youtube.com/embed/-GoNo0DGroU
5205,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),"Action, Mystery, Romance, Supernatural, Thriller",Movie,1,8.57,95658,image/movies/2022/03/m79.png,https://www.youtube.com/embed/GWeuZr6fT6o
17389,Kingdom 2nd Season,"Action, Historical, Military, Seinen",TV,39,8.57,31234,image/movies/2022/03/m80.png,https://www.youtube.com/embed/LwcTi86cFeg
170,Slam Dunk,"Comedy, Drama, School, Shounen, Sports",TV,101,8.56,82570,image/movies/2022/03/m81.png,https://www.youtube.com/embed/GWeuZr6fT6o
10162,Usagi Drop,"Josei, Slice of Life",TV,11,8.56,194855,image/movies/2022/03/m82.png,https://www.youtube.com/embed/bbyrTsvTyoU
18617,Girls und Panzer der Film,"Military, School",Movie,1,8.55,25641,image/movies/2022/03/m83.png,https://www.youtube.com/embed/nboMpI9vOhI
32182,Mob Psycho 100,"Action, Comedy, Slice of Life, Supernatural",TV,12,8.55,193716,image/movies/2022/03/m84.png,https://www.youtube.com/embed/Sr_Ri6a3MPE
877,Nana,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",TV,47,8.55,197256,image/movies/2022/03/m85.png,https://www.youtube.com/embed/UhJM5rVqaF8
2251,Baccano!,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",TV,13,8.54,363215,image/movies/2022/03/m86.png,https://www.youtube.com/embed/GWeuZr6fT6o
24687,Mushishi Zoku Shou: Odoro no Michi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.54,34011,image/movies/2022/03/m87.png,https://www.youtube.com/embed/j_Ho5K6pS-A
16498,Shingeki no Kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,25,8.54,896229,image/movies/2022/03/m88.png,https://www.youtube.com/embed/b_ePl3_RpJ0
10030,Bakuman. 2nd Season,"Comedy, Drama, Romance, Shounen",TV,25,8.53,151561,image/movies/2022/03/m89.png,https://www.youtube.com/embed/GWeuZr6fT6o
5941,Cross Game,"Comedy, Drama, Romance, School, Sports",TV,50,8.53,53108,image/movies/2022/03/m90.png,https://www.youtube.com/embed/gY98EYPVKvo
30346,Doukyuusei (Movie),"Romance, School, Shounen Ai, Slice of Life",Movie,1,8.53,28864,image/movies/2022/03/m91.png,https://www.youtube.com/embed/ByXuk9QqQkk
3784,Evangelion: 2.0 You Can (Not) Advance,"Action, Mecha, Sci-Fi",Movie,1,8.53,182224,image/movies/2022/03/m92.png,https://www.youtube.com/embed/KFbqrwpm-js
13125,Shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25,8.53,288376,image/movies/2022/03/m93.png,https://www.youtube.com/embed/3aL0gDZtFbE
12029,Uchuu Senkan Yamato 2199,"Action, Drama, Military, Sci-Fi, Space",OVA,26,8.53,44223,image/movies/2022/03/m94.png,https://www.youtube.com/embed/Go7E5Pmjbsc
14397,Chihayafuru 2,"Drama, Game, Josei, Slice of Life, Sports",TV,25,8.52,86074,image/movies/2022/03/m95.png,https://www.youtube.com/embed/ed1xwAtF728
10087,Fate/Zero,"Action, Fantasy, Supernatural",TV,13,8.51,453630,image/movies/2022/03/m96.png,https://www.youtube.com/embed/v-AGjx0N24U
14719,JoJo no Kimyou na Bouken (TV),"Action, Adventure, Shounen, Supernatural, Vampire",TV,26,8.51,190197,image/movies/2022/03/m97.png,https://www.youtube.com/embed/XxHQ5IT0iZI
9756,Mahou Shoujo Madoka★Magica,"Drama, Magic, Psychological, Thriller",TV,12,8.51,462974,image/movies/2022/03/m98.png,https://www.youtube.com/embed/MhKyFMKVtBk
10165,Nichijou,"Comedy, School, Slice of Life",TV,26,8.52,254436,image/movies/2022/03/m99.png,https://www.youtube.com/embed/ULCIHP5dc44
13601,Psycho-Pass,"Action, Police, Psychological, Sci-Fi",TV,22,8.5,509109,image/movies/2022/03/m100.png,https://www.youtube.com/embed/Poo5lqoWSGw
22789,Barakamon,"Comedy, Slice of Life",TV,12,8.5,225927,Unknow,Unknow
30230,Diamond no Ace: Second Season,"Comedy, School, Shounen, Sports",TV,51,8.5,38531,Unknow,Unknow
18115,Magi: The Kingdom of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,8.5,245026,Unknow,Unknow
11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.5,135735,Unknow,Unknow
11917,Major: World Series,"Comedy, Drama, Sports",OVA,2,8.5,13405,Unknow,Unknow
205,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26,8.5,390076,Unknow,Unknow
32282,Shokugeki no Souma: Ni no Sara,"Ecchi, School, Shounen",TV,13,8.5,185015,Unknow,Unknow
6594,Katanagatari,"Action, Adventure, Historical, Martial Arts, Romance",TV,12,8.49,207241,Unknow,Unknow
11979,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.49,85361,Unknow,Unknow
7655,Major S6,"Comedy, Drama, Sports",TV,25,8.49,24788,Unknow,Unknow
2246,Mononoke,"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural",TV,12,8.49,88850,Unknow,Unknow
25835,Shirobako,"Comedy, Drama",TV,24,8.49,146895,Unknow,Unknow
2921,Ashita no Joe 2,"Drama, Sports",TV,47,8.48,6259,Unknow,Unknow
136,Hunter x Hunter,"Action, Adventure, Shounen, Super Power",TV,62,8.48,166255,Unknow,Unknow
30503,Noragami Aragoto,"Action, Adventure, Shounen, Supernatural",TV,13,8.48,299434,Unknow,Unknow
12531,Sakamichi no Apollon,"Drama, Josei, Music, Romance, School",TV,12,8.48,146592,Unknow,Unknow
523,Tonari no Totoro,"Adventure, Comedy, Supernatural",Movie,1,8.48,271484,Unknow,Unknow
467,Ghost in the Shell: Stand Alone Complex,"Action, Mecha, Military, Police, Sci-Fi, Seinen",TV,26,8.47,194491,Unknow,Unknow
572,Kaze no Tani no Nausicaä,"Adventure, Fantasy",Movie,1,8.47,143273,Unknow,Unknow
19815,No Game No Life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,12,8.47,602291,Unknow,Unknow
2559,Romeo no Aoi Sora,"Adventure, Drama, Historical, Slice of Life",TV,33,8.47,15074,Unknow,Unknow
392,Yuu☆Yuu☆Hakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",TV,112,8.47,195017,Unknow,Unknow
486,Kino no Tabi: The Beautiful World,"Action, Adventure, Slice of Life",TV,13,8.46,102822,Unknow,Unknow
11771,Kuroko no Basket,"Comedy, School, Shounen, Sports",TV,25,8.46,338315,Unknow,Unknow
1698,Nodame Cantabile,"Comedy, Drama, Josei, Music, Romance, Slice of Life",TV,23,8.46,157025,Unknow,Unknow
5341,Ookami to Koushinryou II,"Adventure, Fantasy, Historical, Romance",TV,12,8.46,210491,Unknow,Unknow
25781,Shingeki no Kyojin: Kuinaki Sentaku,"Action, Fantasy, Shoujo, Supernatural",OVA,2,8.45,92543,Unknow,Unknow
10863,Steins;Gate: Oukoubakko no Poriomania,"Sci-Fi, Thriller",Special,1,8.46,159548,Unknow,Unknow
28701,Fate/stay night: Unlimited Blade Works 2nd Season,"Action, Fantasy, Magic, Shounen, Supernatural",TV,13,8.45,205987,Unknow,Unknow
5420,Kemono no Souja Erin,"Drama, Fantasy",TV,50,8.45,36751,Unknow,Unknow
9260,Kizumonogatari I: Tekketsu-hen,"Mystery, Supernatural, Vampire",Movie,1,8.45,99579,Unknow,Unknow
32,Neon Genesis Evangelion: The End of Evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,1,8.45,215630,Unknow,Unknow
4224,Toradora!,"Comedy, Romance, School, Slice of Life",TV,25,8.45,633817,Unknow,Unknow
2236,Toki wo Kakeru Shoujo,"Adventure, Drama, Romance, Sci-Fi",Movie,1,8.44,289206,Unknow,Unknow
2685,Tsubasa: Tokyo Revelations,"Action, Adventure, Drama, Fantasy, Romance, Shounen",OVA,3,8.44,57963,Unknow,Unknow
31181,Owarimonogatari,"Comedy, Mystery, Supernatural",TV,12,8.43,107855,Unknow,Unknow
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai",TV,94,8.43,218928,Unknow,Unknow
2418,Stranger: Mukou Hadan,"Action, Adventure, Historical, Samurai",Movie,1,8.43,125503,Unknow,Unknow
1365,Detective Conan Movie 06: The Phantom of Baker Street,"Adventure, Mystery, Police, Shounen",Movie,1,8.42,28462,Unknow,Unknow
22297,Fate/stay night: Unlimited Blade Works,"Action, Fantasy, Magic, Shounen, Supernatural",TV,12,8.42,267484,Unknow,Unknow
627,Major S1,"Comedy, Drama, Shounen, Sports",TV,26,8.42,41061,Unknow,Unknow
10937,Mobile Suit Gundam: The Origin,"Action, Mecha, Military, Sci-Fi, Shounen, Space",OVA,6,8.42,15420,Unknow,Unknow
23755,Nanatsu no Taizai,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",TV,24,8.42,331627,Unknow,Unknow
4081,Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.42,210736,Unknow,Unknow
4155,One Piece Film: Strong World,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.42,85020,Unknow,Unknow
1889,Higurashi no Naku Koro ni Kai,"Mystery, Psychological, Supernatural, Thriller",TV,24,8.41,218101,Unknow,Unknow
137,Hunter x Hunter OVA,"Action, Adventure, Shounen, Super Power",OVA,8,8.41,53168,Unknow,Unknow
139,Hunter x Hunter: Greed Island Final,"Action, Adventure, Shounen, Super Power",OVA,14,8.41,55787,Unknow,Unknow
23317,Kuroshitsuji: Book of Murder,"Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural",OVA,2,8.41,67261,Unknow,Unknow
558,Major S2,"Comedy, Drama, Shounen, Sports",TV,26,8.41,30689,Unknow,Unknow
5040,One Outs,"Psychological, Seinen, Sports",TV,25,8.41,83056,Unknow,Unknow
57,Beck,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,8.4,148328,Unknow,Unknow
33,Berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,8.4,226430,Unknow,Unknow
5,Cowboy Bebop: Tengoku no Tobira,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1,8.4,137636,Unknow,Unknow
1842,Major S3,"Drama, Shounen, Sports",TV,26,8.4,29528,Unknow,Unknow
6336,Mobile Suit Gundam Unicorn,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,7,8.4,42076,Unknow,Unknow
20651,Natsume Yuujinchou: Itsuka Yuki no Hi ni,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",OVA,1,8.4,28302,Unknow,Unknow
1210,NHK ni Youkoso!,"Comedy, Drama, Psychological, Romance",TV,24,8.4,291228,Unknow,Unknow
338,Rose of Versailles,"Adventure, Drama, Historical, Romance, Shoujo",TV,40,8.4,32188,Unknow,Unknow
13759,Sakurasou no Pet na Kanojo,"Comedy, Drama, Romance, School, Slice of Life",TV,24,8.4,380375,Unknow,Unknow
6547,Angel Beats!,"Action, Comedy, Drama, School, Supernatural",TV,13,8.39,717796,Unknow,Unknow
5081,Bakemonogatari,"Mystery, Romance, Supernatural, Vampire",TV,15,8.39,482268,Unknow,Unknow
32867,Bungou Stray Dogs 2nd Season,"Mystery, Seinen, Supernatural",TV,12,8.39,83641,Unknow,Unknow
264,Hajime no Ippo: Champion Road,"Comedy, Shounen, Sports",Special,1,8.39,47840,Unknow,Unknow
12859,One Piece Film: Z,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.39,76051,Unknow,Unknow
853,Ouran Koukou Host Club,"Comedy, Harem, Romance, School, Shoujo",TV,26,8.39,422271,Unknow,Unknow
5460,Detective Conan Movie 13: The Raven Chaser,"Action, Mystery, Police, Shounen",Movie,1,8.38,21798,Unknow,Unknow
6746,Durarara!!,"Action, Mystery, Supernatural",TV,24,8.38,556431,Unknow,Unknow
5690,Nodame Cantabile Finale,"Comedy, Josei, Music, Romance",TV,11,8.38,67697,Unknow,Unknow
329,Planetes,"Drama, Romance, Sci-Fi, Seinen, Space",TV,26,8.38,105044,Unknow,Unknow
34240,Shelter,"Music, Sci-Fi",Music,1,8.38,71136,Unknow,Unknow
513,Tenkuu no Shiro Laputa,"Adventure, Fantasy, Romance, Sci-Fi",Movie,1,8.38,151061,Unknow,Unknow
6945,Gintama: Shiroyasha Koutan,"Action, Comedy, Historical, Parody, Sci-Fi",Special,1,8.37,27213,Unknow,Unknow
1142,Hachimitsu to Clover II,"Drama, Josei, Romance",TV,12,8.37,61493,Unknow,Unknow
6811,InuYasha: Kanketsu-hen,"Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural",TV,26,8.37,99128,Unknow,Unknow
16664,Kaguya-hime no Monogatari,"Fantasy, Historical",Movie,1,8.37,45547,Unknow,Unknow
